Unnamed: 0,lat,lon,nearest_mrt_distance,nearest_bus_distance,address,postal_code,nearest_mrt_name,nearest_bus_name,education_score,shopping_score,food_score,healthcare_score,recreation_score
7364,1.394267751,103.8997517,86.06979348,40.57138113,254 COMPASSVALE RD,540254,COMPASSVALE LRT STATION,COMPASSVALE STN EXIT A,34.1022948,40.64760731,3.187597507,116.8004459,44.3049911
7365,1.394282609,103.905325,321.1138251,101.1734665,188A RIVERVALE DR,541188,RUMBIA LRT STATION,BEF PUNGGOL RD,36.07901461,41.21763611,2.125076103,89.91649582,40.43907747
7366,1.394288729,103.743063,602.7252992,43.01874932,551 CHOA CHU KANG ST 52,680551,YEW TEE MRT STATION,BLK 551,34.97455803,32.99379277,0.465433518,6.549140719,21.39954514
7367,1.394297907,103.9058476,314.9276544,107.7538488,187B RIVERVALE DR,542187,RUMBIA LRT STATION,BEF PUNGGOL RD,34.46224293,40.41579524,2.099402314,88.17198248,38.38599306
7368,1.394298886,103.8751108,299.5349574,150.3897405,453B FERNVALE RD,792453,FERNVALE LRT STATION,AFT LOR TANGGAM,19.72114692,32.25763456,4.224533624,76.78103303,48.98461032
7369,1.394298934,103.8745474,332.1514436,106.3469526,451B SENGKANG WEST WAY,792451,FERNVALE LRT STATION,AFT LOR TANGGAM,19.20126969,32.39857752,3.923656928,74.86831169,49.27208709
7370,1.394317361,103.8992082,144.0902756,83.18283874,255 COMPASSVALE RD,540255,COMPASSVALE LRT STATION,COMPASSVALE STN EXIT A,33.46157115,41.8193133,3.241552441,118.382928,45.74942285
7371,1.394325494,103.903468,331.2923058,136.6211263,192A RIVERVALE DR,541192,COMPASSVALE LRT STATION,RIVERVALE PR SCH,36.31596397,40.76289245,2.561283565,96.69424154,42.04700496
7372,1.39434782,103.8858568,495.3797126,64.89259917,353B ANCHORVALE LANE,542353,FARMWAY LRT STATION,OPP HOCKEY STADIUM,26.44815753,42.13392149,4.935187374,102.739601,53.20000532
7373,1.394349194,103.8740538,371.281956,67.05924459,451A SENGKANG WEST WAY,791451,FERNVALE LRT STATION,BEF JALAN KAYU,18.27008476,32.47504971,3.65910154,73.08067073,48.97437456
7374,1.394373666,103.8763224,276.6325671,119.1496581,434A FERNVALE RD,791434,FERNVALE LRT STATION,BLK 432A,20.34869791,32.79084607,4.745411082,81.63122422,48.37592215
7375,1.394388962,103.9147524,157.8661608,118.8877122,167C PUNGGOL EAST,823167,RIVIERA LRT STATION,RIVIERA STN EXIT B,22.38025023,36.79919259,1.648493879,75.57272459,21.740461
7376,1.394414902,103.7451427,428.5060998,136.8156151,574 CHOA CHU KANG ST 52,680574,YEW TEE MRT STATION,BLK 563,22.10705234,33.53484285,0.515072249,6.933490657,26.44298303
7377,1.39441572,103.8917738,305.7022598,35.82911826,333C ANCHORVALE LINK,543333,CHENG LIM LRT STATION,BLK 333B,31.41349631,44.56536813,4.77655239,139.7503796,37.96238937
7378,1.394416826,103.7454326,410.2418165,119.3544806,573 CHOA CHU KANG ST 52,680573,YEW TEE MRT STATION,KRANJI PRI SCH,22.14328814,33.52546274,0.522924707,6.940226966,27.54684136
7379,1.394433763,103.895864,307.4828021,177.0236007,260D SENGKANG EAST WAY,544260,SENGKANG MRT STATION,OPP SENGKANG GENERAL HOSP,30.31705958,62.75914686,3.667136509,154.6821257,41.5762239
7380,1.394448669,103.9155224,72.04549425,34.5397511,166A PUNGGOL CTRL,821166,RIVIERA LRT STATION,RIVIERA STN EXIT B,21.0884485,33.03247134,1.281523685,63.77923833,20.60099901
7381,1.394468148,103.8735067,395.4879868,46.8231216,450A SENGKANG WEST WAY,791450,THANGGAM LRT STATION,BEF JALAN KAYU,17.06550177,32.47057073,3.38409824,70.67553384,48.34066168
7382,1.394478832,103.8755584,300.1407173,177.5138996,453A FERNVALE RD,791453,FERNVALE LRT STATION,Blk 436A,19.54647979,32.02541997,4.321329617,76.58319942,48.2875427
7383,1.394496029,103.913979,168.5617662,200.7731183,168B PUNGGOL EAST,822168,CORAL EDGE LRT STATION,CORAL EDGE STN EXIT B,24.57388599,45.61921201,1.691481665,100.8185377,23.29535515
7384,1.394512179,103.9079643,288.4828262,260.1410243,120A EDGEDALE PLAINS,821120,MERIDIAN LRT STATION,MERDIAN STN EXIT A,39.25002994,39.08785343,2.003460072,78.65851979,42.04463065
7385,1.394540687,103.905459,346.368256,71.46240494,188B RIVERVALE DR,542188,RUMBIA LRT STATION,BEF PUNGGOL RD,34.79060303,40.43220519,2.132177005,88.63994624,38.81082253
7386,1.394548399,103.9145293,181.9648029,145.0983439,167D PUNGGOL EAST,824167,RIVIERA LRT STATION,RIVIERA STN EXIT B,23.11430615,38.54129559,1.665897007,80.77814651,22.3229553
7387,1.394548891,103.9111062,178.6916848,87.65290231,126B EDGEDALE PLAINS,822126,CORAL EDGE LRT STATION,CORAL EDGE STN EXIT A,30.14457941,38.7947224,1.842109541,84.72903169,29.25937067
7388,1.394570342,103.8951053,239.1336758,91.33045046,262C COMPASSVALE ST,543262,CHENG LIM LRT STATION,OPP SENGKANG GENERAL HOSP,29.95246426,52.83264766,3.804868336,155.7882197,39.75561031
7389,1.394578126,103.915235,103.6700301,69.38380699,166B PUNGGOL CTRL,822166,RIVIERA LRT STATION,RIVIERA STN EXIT B,21.76324315,34.29628107,1.631885722,67.28374031,21.1591135
7390,1.39457896,103.8914254,324.3289846,42.1731358,333B ANCHORVALE LINK,542333,CHENG LIM LRT STATION,BLK 333B,31.65685811,44.34891571,4.991428357,136.0815051,37.76512991
7391,1.394589169,103.9142388,199.2058645,177.7075318,168A PUNGGOL EAST,821168,CORAL EDGE LRT STATION,RIVIERA STN EXIT B,23.84413936,41.41536327,1.682183414,88.75560886,22.92791401
7392,1.394589763,103.8782814,340.0841356,146.2871392,430C FERNVALE LINK,793430,LAYAR LRT STATION,BLK 432A,21.39782362,33.50437859,4.575806371,85.638702,46.12532451
7393,1.394609604,103.8765855,304.4234468,79.9413634,434B FERNVALE RD,792434,FERNVALE LRT STATION,BLK 432A,20.16192836,32.75784954,4.581058382,80.18293561,47.59304526
7394,1.394610617,103.7426638,619.2952087,99.47751329,552 CHOA CHU KANG ST 52,680552,YEW TEE MRT STATION,BLK 551,30.95340283,30.82247544,0.453911628,6.359620841,20.53288745
