postal_code,Description_clean
680017,Attributes BLK_NO 17  ST_COD TEL13D  ENTITYID 10777  POSTAL_COD 680017  INC_CRC FE8A7AB01942EB46  FMEL_UPD_D 20130426120310 
521384,Attributes BLK_NO 384A  ST_COD TAS39U  ENTITYID 558  POSTAL_COD 521384  INC_CRC 6CA1E64A2862EB0B  FMEL_UPD_D 20130426120216 
750423,Attributes BLK_NO 423  ST_COD CAN02U  ENTITYID 435  POSTAL_COD 750423  INC_CRC 4A5FE66DE5BE95B9  FMEL_UPD_D 20130426120236 
120342,Attributes BLK_NO 342  ST_COD CLA08B  ENTITYID 662  POSTAL_COD 120342  INC_CRC 1CB6A3CB9BB3E7A5  FMEL_UPD_D 20130426120217 
540308,Attributes BLK_NO 308  ST_COD ANC04Y  ENTITYID 5280  POSTAL_COD 540308  INC_CRC 34313970601E62D8  FMEL_UPD_D 20130426120255 
551232,Attributes BLK_NO 232A  ST_COD SEA11N  ENTITYID 10034  POSTAL_COD 551232  INC_CRC 79D2CCA74F71C36D  FMEL_UPD_D 20181003111125 
570409,Attributes BLK_NO 409  ST_COD SIA16G  ENTITYID 962  POSTAL_COD 570409  INC_CRC 89E8E28B5BEAE519  FMEL_UPD_D 20190403140624 
560636,Attributes BLK_NO 636  ST_COD ANA08H  ENTITYID 2315  POSTAL_COD 560636  INC_CRC 01BB5074CB11C552  FMEL_UPD_D 20170601120549 
570193,Attributes BLK_NO 193  ST_COD BIS06N  ENTITYID 12226  POSTAL_COD 570193  INC_CRC 873274769410381A  FMEL_UPD_D 20160930094741 
270008,Attributes BLK_NO 8  ST_COD GHM00D  ENTITYID 6820  POSTAL_COD 270008  INC_CRC 6BF3AD00B58DC02C  FMEL_UPD_D 20130426120314 
650166,Attributes BLK_NO 166  ST_COD BUA15B  ENTITYID 7033  POSTAL_COD 650166  INC_CRC 15DF13F770257483  FMEL_UPD_D 20130426120315 
730805,Attributes BLK_NO 805  ST_COD WOS05J  ENTITYID 11774  POSTAL_COD 730805  INC_CRC D32EF29D2828424D  FMEL_UPD_D 20150529170631 
550254,Attributes BLK_NO 254  ST_COD SED06Q  ENTITYID 10181  POSTAL_COD 550254  INC_CRC AA4652C79E1040D7  FMEL_UPD_D 20140929105030 
530648,Attributes BLK_NO 648  ST_COD HOA11S  ENTITYID 10613  POSTAL_COD 530648  INC_CRC 0F309A61F6177728  FMEL_UPD_D 20130426120345 
