name,amenity_type,LatLng,lat,lon
SUZYAMEER FROZEN,shopping,"1.38433426615655,103.881623070164",1.38433426615655,103.881623070164
DON DON DONKI,shopping,"1.32044103104797,103.844192628979",1.32044103104797,103.844192628979
FAIRPRICE FINEST,shopping,"1.29134759697794,103.849989790085",1.29134759697794,103.849989790085
FAIRPRICE,shopping,"1.33149708073624,103.86821402533",1.33149708073624,103.86821402533
SHENG SIONG SUPERMARKET,shopping,"1.39332786581517,103.886617625113",1.39332786581517,103.886617625113
DON DON DONKI,shopping,"1.2888737988701,103.846797382693",1.2888737988701,103.846797382693
MEIDI-YA SUPERMARKET,shopping,"1.29380235105066,103.831757911057",1.29380235105066,103.831757911057
HAO MART,shopping,"1.32769993704525,103.861236369481",1.32769993704525,103.861236369481
COLD STORAGE,shopping,"1.32154249881548,103.955535617961",1.32154249881548,103.955535617961
COLD STORAGE,shopping,"1.30091736056425,103.90533928065",1.30091736056425,103.90533928065
GIANT,shopping,"1.3532321297355,103.8714723783",1.3532321297355,103.8714723783
GIANT,shopping,"1.32987117232209,103.901930369733",1.32987117232209,103.901930369733
SHENG SIONG SUPERMARKET,shopping,"1.33240230571086,103.925500595677",1.33240230571086,103.925500595677
GIANT,shopping,"1.33317541870197,103.931265025162",1.33317541870197,103.931265025162
FAIRPRICE,shopping,"1.32172296225797,103.886811795181",1.32172296225797,103.886811795181
