name,amenity_type,LatLng,lat,lon
ActiveSG Gym@Serangoon Central,recreation,"1.35246731001924,103.872102771725",1.35246731001924,103.872102771725
ActiveSG Gym@Toa Payoh,recreation,"1.33750504672457,103.844905447177",1.33750504672457,103.844905447177
ActiveSG Gym@Toa Payoh West Community Centre,recreation,"1.3353827124599,103.844830875826",1.3353827124599,103.844830875826
ActiveSG Hockey Village @ Boon Lay,recreation,"1.34775854401013,103.711179884181",1.34775854401013,103.711179884181
ActiveSG Sport Village@Jurong Town,recreation,"1.33222922305494,103.720201118607",1.33222922305494,103.720201118607
Ang Mo Kio Swimming Complex,recreation,"1.36330227163263,103.849666754353",1.36330227163263,103.849666754353
Bedok Stadium,recreation,"1.32609867478951,103.938818760925",1.32609867478951,103.938818760925
Bishan Sport Centre,recreation,"1.35528262669744,103.850922078347",1.35528262669744,103.850922078347
Bishan Clubhouse,recreation,"1.3550750193035,103.849990451996",1.3550750193035,103.849990451996
Bukit Batok Swimming Complex,recreation,"1.34433159103382,103.747954227601",1.34433159103382,103.747954227601
Bukit Canberra Sport Centre,recreation,"1.44826336187663,103.822763637644",1.44826336187663,103.822763637644
Bukit Gombak Sport Centre,recreation,"1.35979953416425,103.752170222868",1.35979953416425,103.752170222868
Burghley Squash & Tennis Centre,recreation,"1.35939081059595,103.860486526266",1.35939081059595,103.860486526266
Choa Chu Kang Sport Centre,recreation,"1.39066617023504,103.74792070975",1.39066617023504,103.74792070975
Clementi Sport Centre,recreation,"1.3110149773938,103.764861412972",1.3110149773938,103.764861412972
Clementi Stadium,recreation,"1.30967486413142,103.762488576067",1.30967486413142,103.762488576067
Delta Sport Centre,recreation,"1.28918219836408,103.819992906032",1.28918219836408,103.819992906032
Geylang East Swimming Complex,recreation,"1.32097767423067,103.887650375643",1.32097767423067,103.887650375643
Heartbeat@Bedok ActiveSG Sport Centre,recreation,"1.32698498848449,103.931620621577",1.32698498848449,103.931620621577
Hougang Sport Centre,recreation,"1.3705734851444,103.88807173322",1.3705734851444,103.88807173322
